size,block_size,seed,cmc_estimate,ginibre_estimate
2500,2500,35566,3.1936,3.12
2500,50,35566,3.1232,3.0288
2500,2,35566,3.1328,2.4176
2500,2500,68250,3.1408,3.1296
2500,50,68250,3.136,3.0688
2500,2,68250,3.128,2.4112
2500,2500,463823,3.1248,3.1408
2500,50,463823,3.1904,3.0784
2500,2,463823,3.144,2.4992
2500,2500,582187,3.0864,3.1296
2500,50,582187,3.12,3.0448
2500,2,582187,3.1232,2.432
2500,2500,66978,3.1904,3.1264
2500,50,66978,3.136,3.0272
2500,2,66978,3.176,2.3856
2500,2500,54229,3.1424,3.1472
2500,50,54229,3.1984,3.064
2500,2,54229,3.1632,2.536
2500,2500,434106,3.1712,3.1392
2500,50,434106,3.136,3.0464
2500,2,434106,3.1232,2.4048
2500,2500,907618,3.152,3.1376
2500,50,907618,3.1952,3.0736
2500,2,907618,3.0896,2.4784
2500,2500,874616,3.1424,3.144
2500,50,874616,3.1456,3.0688
2500,2,874616,3.176,2.3744
2500,2500,60753,3.136,3.136
2500,50,60753,3.1232,3.056
2500,2,60753,3.192,2.4176
2500,2500,588814,3.1664,3.1328
2500,50,588814,3.2144,3.0848
2500,2,588814,3.1664,2.4432
2500,2500,747975,3.1312,3.144
2500,50,747975,3.1472,3.072
2500,2,747975,3.1824,2.4736
2500,2500,973327,3.1248,3.1344
2500,50,973327,3.1904,3.04
2500,2,973327,3.1936,2.4672
2500,2500,239193,3.168,3.144
2500,50,239193,3.1232,3.0592
2500,2,239193,3.1488,2.5056
2500,2500,165460,3.1472,3.1408
2500,50,165460,3.1232,3.0736
2500,2,165460,3.088,2.4016
2500,2500,338832,3.1104,3.144
2500,50,338832,3.1744,3.064
2500,2,338832,3.1248,2.4464
2500,2500,487579,3.2256,3.1344
2500,50,487579,3.1376,3.0816
2500,2,487579,3.1504,2.4992
2500,2500,12770,3.1328,3.144
2500,50,12770,3.1392,3.0544
2500,2,12770,3.1136,2.4928
2500,2500,954185,3.1296,3.1296
2500,50,954185,3.1392,3.0688
2500,2,954185,3.1248,2.4112
2500,2500,321473,3.1664,3.1424
2500,50,321473,3.128,3.0592
2500,2,321473,3.1008,2.4048
2500,2500,33070,3.136,3.1248
2500,50,33070,3.1952,3.056
2500,2,33070,3.1584,2.4528
2500,2500,117464,3.1408,3.144
2500,50,117464,3.12,3.0608
2500,2,117464,3.1664,2.4192
2500,2500,489650,3.1408,3.1392
2500,50,489650,3.1792,3.0592
2500,2,489650,3.1344,2.3664
2500,2500,479884,3.1536,3.1264
2500,50,479884,3.1568,3.0816
2500,2,479884,3.1424,2.4336
2500,2500,699351,3.1312,3.1328
2500,50,699351,3.136,3.04
2500,2,699351,3.0912,2.4352
2500,2500,596640,3.1296,3.1296
2500,50,596640,3.1584,3.08
2500,2,596640,3.1536,2.424
2500,2500,544811,3.2272,3.1248
2500,50,544811,3.1232,3.0832
2500,2,544811,3.1792,2.4528
2500,2500,861861,3.1008,3.144
2500,50,861861,3.1712,3.0656
2500,2,861861,3.1696,2.4608
2500,2500,760664,3.176,3.1328
2500,50,760664,3.1328,3.072
2500,2,760664,3.184,2.4464
2500,2500,165985,3.072,3.128
2500,50,165985,3.1072,3.0768
2500,2,165985,3.0736,2.4752
2500,2500,60829,3.1008,3.1328
2500,50,60829,3.1536,3.0368
2500,2,60829,3.1408,2.4688
2500,2500,915042,3.1056,3.1408
2500,50,915042,3.1344,3.0544
2500,2,915042,3.1392,2.3856
2500,2500,181349,3.1232,3.1344
2500,50,181349,3.1248,3.0672
2500,2,181349,3.1296,2.4368
2500,2500,578782,3.1696,3.1216
2500,50,578782,3.1376,3.0816
2500,2,578782,3.136,2.5008
2500,2500,805402,3.1376,3.1408
2500,50,805402,3.1024,3.096
2500,2,805402,3.1792,2.4208
2500,2500,478930,3.1264,3.1376
2500,50,478930,3.1808,3.0208
2500,2,478930,3.1392,2.416
2500,2500,770212,3.1824,3.1376
2500,50,770212,3.1376,3.0864
2500,2,770212,3.0912,2.5104
2500,2500,747776,3.1776,3.1248
2500,50,747776,3.1776,3.0304
2500,2,747776,3.1376,2.4928
2500,2500,528287,3.1984,3.1408
2500,50,528287,3.1232,3.0736
2500,2,528287,3.1792,2.4976
2500,2500,117440,3.1488,3.1344
2500,50,117440,3.1552,3.0368
2500,2,117440,3.104,2.4496
2500,2500,784453,3.1248,3.1264
2500,50,784453,3.1696,3.064
2500,2,784453,3.1792,2.4384
2500,2500,342535,3.1168,3.1424
2500,50,342535,3.1712,3.0448
2500,2,342535,3.1776,2.4752
2500,2500,777681,3.1856,3.1456
2500,50,777681,3.1264,3.0272
2500,2,777681,3.1776,2.4592
2500,2500,491745,3.1136,3.1328
2500,50,491745,3.1408,3.0976
2500,2,491745,3.1328,2.4832
2500,2500,689530,3.0848,3.144
2500,50,689530,3.0992,3.0448
2500,2,689530,3.104,2.456
2500,2500,597380,3.1952,3.1408
2500,50,597380,3.1456,3.072
2500,2,597380,3.1936,2.4704
2500,2500,381138,3.1248,3.136
2500,50,381138,3.168,3.0816
2500,2,381138,3.1984,2.4256
2500,2500,759117,3.1536,3.1248
2500,50,759117,3.1344,3.0384
2500,2,759117,3.1744,2.4816
2500,2500,728779,3.0944,3.1392
2500,50,728779,3.1968,3.032
2500,2,728779,3.128,2.4976
2500,2500,508602,3.1488,3.12
2500,50,508602,3.1136,3.0976
2500,2,508602,3.1392,2.504
2500,2500,394905,3.1328,3.1312
2500,50,394905,3.1328,3.0608
2500,2,394905,3.2032,2.392
2500,2500,423994,3.1328,3.1296
2500,50,423994,3.1616,3.0624
2500,2,423994,3.1424,2.4064
2500,2500,432643,3.088,3.1488
2500,50,432643,3.1536,3.0864
2500,2,432643,3.144,2.4976
2500,2500,196707,3.1584,3.136
2500,50,196707,3.0832,3.0608
2500,2,196707,3.1632,2.48
2500,2500,540400,3.152,3.1504
2500,50,540400,3.1984,3.0576
2500,2,540400,3.184,2.472
2500,2500,52300,3.2032,3.144
2500,50,52300,3.1808,3.0448
2500,2,52300,3.1008,2.4224
2500,2500,83112,3.1424,3.1248
2500,50,83112,3.1088,3.0736
2500,2,83112,3.1392,2.4992
2500,2500,794048,3.152,3.1392
2500,50,794048,3.056,3.0976
2500,2,794048,3.1968,2.3856
2500,2500,817751,3.12,3.152
2500,50,817751,3.1312,3.0624
2500,2,817751,3.1232,2.4432
2500,2500,239551,3.1408,3.1312
2500,50,239551,3.1456,3.0496
2500,2,239551,3.1728,2.3728
2500,2500,730693,3.1504,3.1232
2500,50,730693,3.1568,3.072
2500,2,730693,3.128,2.4528
2500,2500,366437,3.1504,3.1312
2500,50,366437,3.1088,3.064
2500,2,366437,3.112,2.464
2500,2500,660550,3.12,3.1344
2500,50,660550,3.1552,3.088
2500,2,660550,3.1792,2.4464
2500,2500,161162,3.1712,3.1488
2500,50,161162,3.0624,3.0464
2500,2,161162,3.1632,2.4048
2500,2500,948230,3.1536,3.1328
2500,50,948230,3.1264,3.0976
2500,2,948230,3.152,2.4496
2500,2500,825455,3.1168,3.1376
2500,50,825455,3.1632,3.0992
2500,2,825455,3.16,2.456
2500,2500,112511,3.1536,3.1408
2500,50,112511,3.1616,3.0192
2500,2,112511,3.2352,2.4704
2500,2500,446978,3.1184,3.1232
2500,50,446978,3.1424,3.056
2500,2,446978,3.1104,2.4976
2500,2500,664131,3.1232,3.1456
2500,50,664131,3.1904,3.0704
2500,2,664131,3.1312,2.376
2500,2500,51950,3.1632,3.1344
2500,50,51950,3.1664,3.0912
2500,2,51950,3.1488,2.4752
2500,2500,723522,3.1856,3.144
2500,50,723522,3.1696,3.0688
2500,2,723522,3.1424,2.448
2500,2500,639462,3.1792,3.1376
2500,50,639462,3.1216,3.0352
2500,2,639462,3.1696,2.488
2500,2500,486492,3.1456,3.1392
2500,50,486492,3.1616,3.0544
2500,2,486492,3.1472,2.4864
2500,2500,630581,3.1344,3.1376
2500,50,630581,3.0976,3.032
2500,2,630581,3.1616,2.4544
2500,2500,363779,3.1136,3.1408
2500,50,363779,3.0928,3.056
2500,2,363779,3.1648,2.3744
2500,2500,520537,3.1712,3.128
2500,50,520537,3.1616,3.0624
2500,2,520537,3.168,2.376
2500,2500,647615,3.168,3.144
2500,50,647615,3.1168,3.0384
2500,2,647615,3.1152,2.3552
2500,2500,105204,3.096,3.1312
2500,50,105204,3.128,3.0832
2500,2,105204,3.1472,2.4112
2500,2500,404589,3.1072,3.1408
2500,50,404589,3.176,3.0416
2500,2,404589,3.0848,2.4192
2500,2500,910591,3.1856,3.1456
2500,50,910591,3.1424,3.0672
2500,2,910591,3.168,2.3888
2500,2500,540526,3.1104,3.1456
2500,50,540526,3.1952,3.0688
2500,2,540526,3.12,2.4384
2500,2500,878452,3.1072,3.1328
2500,50,878452,3.1616,3.0304
2500,2,878452,3.2144,2.4192
